genero,fecha_cambio,cantidad
M,2021-09-01,150
M,2021-10-01,134
M,2021-11-01,133
M,2021-12-01,110
M,2022-01-01,93
M,2022-02-01,101
M,2022-03-01,104
X,2014-01-01,1
X,2018-10-01,1
X,2018-11-01,2
X,2019-06-01,1
X,2019-12-01,1
X,2020-11-01,1
X,2021-05-01,3
X,2021-06-01,1
X,2021-07-01,9
X,2021-08-01,16
X,2021-09-01,35
X,2021-10-01,31
X,2021-11-01,73
X,2021-12-01,43
X,2022-01-01,37
X,2022-02-01,44
X,2022-03-01,55
